Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
F	C	26-Jun-99	04-Nov-03	CN090Wa	FADE
F	C	26-Jun-99	21-Jul-99	CN091Wa	FADE
M	C	26-Jun-99	16-Sep-99	CN092Wa	FADE
M	A	22-Jun-99	05-May-00	CN093Aa	PRED
M	A	23-Jun-99	07-Feb-00	CN094Aa	FADE
M	C	24-Jun-99	24-Jun-99	CN095Ca	PRED
F	A	22-Jun-99	11-Nov-01	CN096Aa	PRED
F	A	22-Jun-99	11-Feb-07	CN097Aa	FADE
F	Y	22-Jun-99	24-Mar-03	CN098Aa	FADE
F	A	26-Jun-99	17-Dec-03	CN099Wa	FADE
F	A	23-Jul-99	10-May-02	CN100Wa	UNKN
F	C	23-Jul-99	29-Dec-99	CN101Wa	FADE
M	A	07-Feb-00	22-Nov-01	CN102Ca	PRED
M	A	07-Feb-00	25-Jan-03	CN103Ca	PRED
F	A	07-Feb-00	05-Apr-02	CN104Ca	PRED
F	A	08-Feb-00	04-Sep-02	CN105Ca	FADE
F	A	07-Mar-07	28-Oct-10	CN105Cb	FADE
M	A	08-Feb-00	21-Nov-04	CN106Ca	PRED
M	A	10-Feb-00	20-Nov-08	CN107Ca	PRED
F	A	23-Jun-99	09-Apr-00	CN109Aa	PRED
M	A	11-Feb-00	23-Jan-05	CN110Aa	UNKN
F	A	11-Feb-00	14-Feb-01	CN111Aa	PRED
F	A	11-Feb-00	18-Apr-00	CN112Aa	UNKN
F	A	12-Feb-00	19-Aug-02	CN113Aa	FADE
F	A	12-Feb-00	24-Aug-01	CN114Aa	HUNT
M	A	12-Feb-00	24-Apr-01	CN115Aa	UNKN
F	A	12-Feb-00	11-Feb-07	CN116Aa	FADE
F	A	12-Feb-00	08-Aug-05	CN117Aa	PRED
M	A	12-Feb-00	16-Dec-03	CN118Aa	FADE
F	C	14-Feb-00	15-Oct-06	CN119Ca	FADE
F	A	15-Feb-00	13-Mar-00	CN120Wa	ACCI
F	C	16-Feb-00	25-Oct-12	CN121Wa	FADE
M	A	17-Feb-00	17-Apr-00	CN122Wa	FADE
M	A	17-Feb-00	18-Apr-05	CN123Wa	PRED
F	A	17-Feb-00	03-Apr-04	CN124Wa	PRED
F	A	17-Feb-00	28-Feb-10	CN125Wa	FADE
M	C	16-Feb-00	23-Mar-00	CN126Wa	FADE
M	A	22-Mar-00	09-Oct-03	CN127Aa	PRED
M	A	23-Mar-00	15-Aug-01	CN128Wa	UNKN
F	C	12-Jun-00	01-Jan-01	CN129Wa	FADE
M	C	12-Jun-00	04-Oct-00	CN130Wa	UNKN
M	C	13-Jun-00	10-Mar-05	CN131Ca	FADE
